EXP_6,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,EXP_13,EXP_14,Q-Value
649.36,1090.24,651.68,944.32,981.78,911.12,-533.9,865.12,1104.12
781.72,1419.9,974.36,1200.92,1011.58,740.9,-537.32,840.3,1010.12
828.96,981.9,748.24,999.8,1027.86,936.92,-535.28,826.96,1319.54
840.04,1154.16,1072.46,1229.22,1028.92,817.68,-533.36,1008.26,1519.94
761.52,1417.86,999.68,1096.74,821.26,958.0,-536.06,978.38,1376.26
909.96,1195.72,1146.68,1087.06,742.8,843.46,-536.84,1051.52,1484.68
848.66,1153.36,1044.04,1080.5,956.42,927.82,-534.7,841.86,1307.82
882.56,1383.68,899.94,1189.16,890.08,911.9,-532.8,1024.66,1358.64
792.74,1286.18,1093.12,1123.5,1002.6,1033.58,-538.68,1083.32,1481.58
895.74,1218.98,895.1,1197.88,926.06,943.2,-534.06,956.38,1563.2
812.26,1175.84,1022.4,1328.62,791.54,998.08,-535.16,888.0,1328.46
1134.2,1041.2,1038.86,982.2,906.08,1143.96,-534.24,888.76,1369.4
898.28,1235.3,1075.92,1034.82,972.8,868.94,-533.82,1180.08,1359.7
859.74,1269.84,1218.92,1088.56,1041.8,1115.76,-534.74,817.2,1507.1
923.96,1007.42,853.66,1241.76,883.8,1091.3,-534.18,764.0,1287.28
926.02,1499.04,1109.64,1316.28,1087.28,799.52,-533.66,858.3,1300.66
818.96,1247.64,1037.26,1305.98,1047.16,986.44,-534.4,691.94,990.14
797.6,1094.94,1368.18,1423.1,1083.4,945.06,-532.0,827.06,1360.66
727.46,1231.62,1152.78,996.2,954.5,1039.92,-534.54,1088.92,1134.2
717.72,1145.84,1236.88,1010.56,961.64,1017.5,-537.24,1049.52,1182.72
857.82,1511.8,1047.3,1050.78,698.16,989.56,-531.4,995.78,1332.24
993.86,1387.66,768.84,1188.62,1100.2,985.16,-529.02,1090.88,1407.32
986.9,1184.68,955.34,1308.04,976.06,802.54,-535.04,916.56,1339.26
576.7,1556.58,1373.5,1218.3,972.56,865.42,-532.72,1090.36,1304.2
971.38,1182.62,1050.96,1279.3,1020.32,777.38,-533.86,780.88,1504.6
886.06,1221.52,960.1,1164.36,762.0,804.2,-535.64,837.68,1449.54
744.38,1385.5,935.0,1114.44,1095.32,960.0,-536.28,1104.82,1151.36
965.2,1318.32,1026.46,1124.36,1043.9,1114.4,-534.92,935.96,1426.76
846.9,1070.48,846.46,1109.96,1208.44,957.92,-531.88,812.16,1692.12
886.68,1443.02,1087.38,1018.78,1002.92,1209.98,-536.72,877.0,1380.12
873.5,1391.74,1108.78,1246.18,1104.72,1007.46,-533.56,1164.76,1263.2
951.1,1274.12,1247.86,1210.26,1014.58,854.58,-534.86,1098.24,1490.8
597.08,995.7,1135.68,1183.14,895.04,855.42,-534.08,935.74,1408.64
754.56,1550.38,1205.58,1135.8,790.36,1137.28,-529.84,961.18,1443.48
